pdes,full_name,neo,pha,H,diameter,albedo,e,a,q,i,om,w,moid,class
2020 DF4,       (2020 DF4),Y,N,26.20,,,0.2643,1.43,1.052,25.58,158.50,357.56,0.0619,AMO
2020 DG4,       (2020 DG4),Y,N,28.15,,,0.3189,1.325,0.903,0.81,161.66,297.31,0.00308,APO
2020 DH4,       (2020 DH4),Y,N,24.40,,,0.4693,1.58,0.839,11.28,163.11,74.82,0.0456,APO
2020 DJ4,       (2020 DJ4),Y,N,22.90,,,0.4189,1.77,1.029,14.62,327.53,254.71,0.186,AMO
2020 DK4,       (2020 DK4),Y,N,24.80,,,0.2459,1.464,1.104,20.70,162.50,26.99,0.131,AMO
2020 DL4,       (2020 DL4),Y,N,24.20,,,0.1162,1.23,1.087,27.27,157.72,59.48,0.151,AMO
2020 DM4,       (2020 DM4),Y,Y,21.73,,,0.4557,1.888,1.027,4.11,6.70,222.81,0.0468,AMO
2020 DN4,       (2020 DN4),Y,N,27.90,,,0.2435,1.156,0.874,3.36,158.81,284.95,0.00898,APO
2020 DO4,       (2020 DO4),Y,N,27.50,,,0.2079,0.9114,0.722,1.17,170.64,213.87,0.00741,ATE
2020 DP4,       (2020 DP4),Y,N,25.18,,,0.2811,1.22,0.877,1.45,2.41,243.94,0.00039,APO
2020 DQ4,       (2020 DQ4),Y,N,25.86,,,0.1167,1.18,1.043,10.87,163.02,310.37,0.0857,AMO
2020 DR4,       (2020 DR4),Y,N,29.75,,,0.2924,0.8153,0.577,4.36,336.44,32.30,0.000239,ATE
2020 DT4,       (2020 DT4),Y,N,25.50,,,0.0780,1.013,0.934,7.66,336.38,318.12,0.0521,APO
2020 DU4,       (2020 DU4),Y,N,23.59,,,0.3545,1.329,0.858,13.50,341.85,279.38,0.0501,APO
2020 DV4,       (2020 DV4),Y,N,25.40,,,0.7131,1.681,0.482,2.38,355.12,58.99,0.0124,APO
2020 DW4,       (2020 DW4),Y,N,25.00,,,0.5513,2.205,0.990,3.52,13.44,124.45,0.0412,APO
2020 DX4,       (2020 DX4),Y,N,26.90,,,0.4317,1.608,0.914,25.11,339.16,122.63,0.0589,APO
2020 DA5,       (2020 DA5),Y,N,25.00,,,0.2366,1.388,1.059,26.44,161.97,334.77,0.0868,AMO
2020 DC5,       (2020 DC5),Y,N,23.20,,,0.3339,1.767,1.177,25.27,165.19,64.18,0.316,AMO
2020 DP14,       (2020 DP14),Y,N,30.31,,,0.2724,1.276,0.928,3.49,329.02,223.47,0.000638,APO
2020 DP16,       (2020 DP16),Y,N,25.58,,,0.0976,0.9189,0.829,27.01,146.05,174.68,0.0205,ATE
2020 DQ16,       (2020 DQ16),Y,N,27.81,,,0.2995,1.069,0.749,5.23,329.28,271.37,0.00233,APO
2020 DR16,       (2020 DR16),Y,N,24.64,,,0.4481,1.722,0.950,16.79,337.61,144.03,0.0169,APO
2020 EA,       (2020 EA),Y,N,24.60,,,0.4592,1.914,1.035,11.17,348.75,173.03,0.0443,AMO
2020 EC,       (2020 EC),Y,N,19.44,,,0.6928,2.494,0.766,19.18,250.29,174.08,0.21,APO
2020 ED,       (2020 ED),Y,N,26.92,,,0.5243,2.054,0.977,1.11,27.22,167.03,0.00364,APO
2020 EE,       (2020 EE),Y,N,27.00,,,0.2614,1.301,0.961,10.55,347.54,219.56,0.0125,APO
2020 EF,       (2020 EF),Y,N,26.20,,,0.1150,0.9595,0.849,6.85,352.53,319.39,0.0325,ATE
2020 EG,       (2020 EG),Y,N,29.70,,,0.1967,1.225,0.984,2.28,163.25,334.87,0.00486,APO
2020 EH,       (2020 EH),Y,N,21.00,,,0.6946,1.73,0.528,45.05,0.65,288.75,0.0972,APO
2020 EJ,       (2020 EJ),Y,N,23.70,,,0.2038,1.096,0.873,10.28,142.63,133.45,0.069,APO
2020 EK,       (2020 EK),Y,N,24.90,,,0.5879,1.267,0.522,11.65,157.06,123.04,0.0557,APO
2020 EO,       (2020 EO),Y,N,25.90,,,0.2518,1.298,0.972,7.08,352.33,149.83,0.00417,APO
2020 EQ,       (2020 EQ),Y,N,29.20,,,0.3668,1.378,0.872,4.15,171.64,304.33,0.00155,APO
2020 ER,       (2020 ER),Y,N,27.00,,,0.1232,1.146,1.005,4.44,173.47,331.25,0.0223,APO
